Customer Query,Order Code,Description
MCCB 36KA 4P 80A (LSI),1SDA067105R1,XT2N 160 Ekip LSI In=100A 4p F F        
MCCB 36KA 4P 63A (LSI),1SDA067104R1,XT2N 160 Ekip LSI In=63A 4p F F         
MCCB 36KA 4P 250A (LSI),1SDA068157R1,XT4N 250 Ekip LSI In=250A 4p F F        
MCCB 36KA 4P 20A (LSI),1SDA067103R1,XT2N 160 Ekip LSI In=25A 4p F F         
MCCB 36KA 4P 100A (LSI),1SDA067105R1,XT2N 160 Ekip LSI In=100A 4p F F        
MCCB 36KA 3P 80A (LSI) (WIRED AS 2P),1SDA067070R1,XT2N 160 Ekip LSI In=100A 3p F F        
MCCB 36KA 3P 80A (LSI),1SDA067070R1,XT2N 160 Ekip LSI In=100A 3p F F        
MCCB 36KA 3P 63A (WIRED AS 2P) (LSI),1SDA067069R1,XT2N 160 Ekip LSI In=63A 3p F F         
MCCB 36KA 3P 63A (LSI) (WIRED AS 2P),1SDA067069R1,XT2N 160 Ekip LSI In=63A 3p F F         
MCCB 36KA 3P 63A (LSI),1SDA067069R1,XT2N 160 Ekip LSI In=63A 3p F F         
MCCB 36KA 3P 63A  (LSI),1SDA067069R1,XT2N 160 Ekip LSI In=63A 3p F F         
MCCB 36KA 3P 630A - (LSI),1SDA100359R1,XT5N 630 Ekip Dip LSI In=630 3p F F     
MCCB 36KA 3P 600A (LSI),1SDA100359R1,XT5N 630 Ekip Dip LSI In=630 3p F F     
MCCB 36KA 3P 40A (WIRED AS 2P) (LSI),1SDA067069R1,XT2N 160 Ekip LSI In=63A 3p F F         
MCCB 36KA 3P 40A (LSI) (WIRED AS 2P),1SDA067069R1,XT2N 160 Ekip LSI In=63A 3p F F         
MCCB 36KA 3P 40A (LSI),1SDA067069R1,XT2N 160 Ekip LSI In=63A 3p F F         
MCCB 36KA 3P 40A  (LSI),1SDA067069R1,XT2N 160 Ekip LSI In=63A 3p F F         
MCCB 36KA 3P 400A - (LSI),1SDA100358R1,XT5N 400 Ekip Dip LSI In=400 3p F F     
MCCB 36KA 3P 32A (LSI) (WIRED AS 2P),1SDA067069R1,XT2N 160 Ekip LSI In=63A 3p F F         
MCCB 36KA 3P 32A (LSI),1SDA067069R1,XT2N 160 Ekip LSI In=63A 3p F F         
MCCB 36KA 3P 25A (LSI) (WIRED AS 2P),1SDA067068R1,XT2N 160 Ekip LSI In=25A 3p F F         
MCCB 36KA 3P 25A (LSI),1SDA067068R1,XT2N 160 Ekip LSI In=25A 3p F F         
MCCB 36KA 3P 250A (LSI),1SDA068136R1,XT4N 250 Ekip LSI In=250A 3p F F        
MCCB 36KA 3P 20A (WIRED AS 2P) (LSI),1SDA067068R1,XT2N 160 Ekip LSI In=25A 3p F F         
MCCB 36KA 3P 20A (LSI),1SDA067068R1,XT2N 160 Ekip LSI In=25A 3p F F         
MCCB 36KA 3P 16A (LSI) (WIRED AS 2P),1SDA067068R1,XT2N 160 Ekip LSI In=25A 3p F F         
MCCB 36KA 3P 16A (LSI),1SDA067068R1,XT2N 160 Ekip LSI In=25A 3p F F         
MCCB 36KA 3P 160A (LSI),1SDA067071R1,XT2N 160 Ekip LSI In=160A 3p F F        
MCCB 36KA 3P 100A (LSI) (WIRED AS 2P),1SDA067070R1,XT2N 160 Ekip LSI In=100A 3p F F        
MCCB 36KA 3P 100A (LSI),1SDA067070R1,XT2N 160 Ekip LSI In=100A 3p F F        
MCCB 25KA 3P 63A (LSI),1SDA067069R1,XT2N 160 Ekip LSI In=63A 3p F F         
MCCB 25KA 3P 40A (LSI) (WIRED AS 2P),1SDA067069R1,XT2N 160 Ekip LSI In=63A 3p F F         
MCCB 25KA 3P 40A (LSI),1SDA067069R1,XT2N 160 Ekip LSI In=63A 3p F F         
MCCB 25KA 3P 32A (LSI) (WIRED AS 2P),1SDA067069R1,XT2N 160 Ekip LSI In=63A 3p F F         
MCCB 25KA 3P 32A (LSI),1SDA067069R1,XT2N 160 Ekip LSI In=63A 3p F F         
MCCB 25KA 3P 25A (LSI) (WIRED AS 2P),1SDA067068R1,XT2N 160 Ekip LSI In=25A 3p F F         
MCCB 25KA 3P 25A (LSI) ,1SDA067068R1,XT2N 160 Ekip LSI In=25A 3p F F         
MCCB 25KA 3P 25A (LSI),1SDA067068R1,XT2N 160 Ekip LSI In=25A 3p F F         
MCCB 25KA 3P 250A (LSI),1SDA068136R1,XT4N 250 Ekip LSI In=250A 3p F F        
MCCB 25KA 3P 100A (LSI),1SDA067070R1,XT2N 160 Ekip LSI In=100A 3p F F        
ACB.ACC SHUNT TRIP AC230V ,1SDA073674R1,YO E1.2..E6.2-XT7-XT7M 220-240 VAC/DC   
MCCB.ACC SHUNT TRIP (630A),1SDA104934R1,YO-C XT5-XT6 F/P 110..240Vac-110..250Vdc
MCCB.ACC SHUNT TRIP (320A ~ 400A),1SDA104934R1,YO-C XT5-XT6 F/P 110..240Vac-110..250Vdc
MCCB.ACC SHUNT TRIP (125A ~ 250A),1SDA066325R1,SOR-C XT1..XT4 F/P 220-240Vac-220-250Vdc
MCCB.ACC SHUNT TRIP (100A AND BELOW),1SDA066325R1,SOR-C XT1..XT4 F/P 220-240Vac-220-250Vdc
MCCB.ACC MOTOR MODULE (630A),1SDA104885R1,MOE XT5 220...250V AC/DC                
MCCB.ACC MOTOR MODULE (400A),1SDA104885R1,MOE XT5 220...250V AC/DC                
MCCB.ACC MOTOR MODULE (320A ~ 400A),1SDA104885R1,MOE XT5 220...250V AC/DC                
MCCB.ACC MOTOR MODULE (160A AND BELOW),1SDA066466R1,MOE XT2-XT4 220...250V ac/dc            
MCCB.ACC EX-ROT HANDLE (320A ~ 630A),1SDA104843R1,RHE XT5 F/P STAND. RETURNED             
MCCB.ACC EX-ROT HANDLE (125A ~ 250A),1SDA069055R1,RHE XT2-XT4 F/P STAND. RETURNED         
MCCB.ACC EX-ROT HANDLE (100A AND BELOW),1SDA069055R1,RHE XT2-XT4 F/P STAND. RETURNED         
MCCB.ACC ALARM/AUX SW (320A ~ 800A),1SDA066431R1,AUX-C 1Q+1SY 250Vac/dc XT1...XT6 F/P    
MCCB.ACC ALARM/AUX SW (125A ~ 250A),1SDA066431R1,AUX-C 1Q+1SY 250Vac/dc XT1...XT6 F/P    
MCCB.ACC ALARM/AUX SW (100A AND BELOW),1SDA066431R1,AUX-C 1Q+1SY 250Vac/dc XT1...XT6 F/P    
MCCB PADLOCK DEVICE (400A ~ 630A),1SDA105081R1,RHL XT5 KE.LO. RONIS SE.1228 RHx/FLD    
MCCB PADLOCK DEVICE (125A ~ 250A),1SDA066617R1,RHL XT1..XT4 KEY LOCK RONIS SEVERAL     
MCB 15KA 3P C20A,2CDS383001R0204,LS  S303P-C20
MCB 10KA 3P D6A (WIRED AS 2P),2CDS273001R0061,S203M-D6
MCB 10KA 3P D20A,2CDS273001R0201,S203M-D20
MCB 10KA 3P C32A (WIRED AS 2P),2CDS273001R0324,S203M-C32
MCB 10KA 3P C32A,2CDS273001R0324,S203M-C32
MCB 10KA 3P C20A,2CDS273001R0204,S203M-C20
MCB 10KA 2P D6A,2CDS272001R0061,S202M-D6
MCB 10KA 2P D32A,2CDS272001R0321,S202M-D32
MCB 10KA 2P D20A,2CDS272001R0201,S202M-D20
MCB 10KA 2P D16A,2CDS272001R0161,S202M-D16
MCB 10KA 2P C6A,2CDS272001R0064,S202M-C6
MCB 10KA 2P C40A,2CDS272001R0404,"S202M-C40 2 Pole MCB, Type C, 40A, 10KA"
MCB 10KA 2P C32A,2CDS272001R0324,S202M-C32
MCB 10KA 2P C20A,2CDS272001R0204,S202M-C20
MCB 10KA 2P C10A,2CDS272001R0104,S202M-C10
"RCCB 4P, 80A 300MA  ",2CSF204005R3800,"F204 AC-80/0,3   80A 4pole RCCB 300mA sensitivity"
"RCCB 4P, 63A 30MA  ",2CSF204005R1630,"F204 AC-63/0,03  63A 4pole RCCB 30mA sensitivity"
"RCCB 4P, 63A 300MA  ",2CSF204005R3630,"F204 AC-63/0,3  63A 4pole RCCB 300mA sensitivity"
"RCCB 4P, 40A 300MA  ",2CSF204005R3400,"F204 AC-40/0,3  40A 4pole RCCB 300mA sensitivity"
"RCCB 4P, 25A 30MA  ",2CSF204005R1250,"F204 AC-25/0,03                         "
"RCCB 4P, 25A 300MA  ",2CSF204005R3250,"F204 AC-25/0,3                          "
"RCCB 4P, 100A 300MA  ",2CSF204023R3900,"F204AC-100/0,3"
"RCCB 2P, 63A 300MA  ",2CSF202005R3630,"F202 AC-63/0,3                          "
"RCCB 2P, 40A 300MA  ",2CSF202005R3400,"F202 AC-40/0,3                          "
"RCCB 2P, 25A 30MA  ",2CSF202005R1250,"F202 AC-25/0,03                         "
"RCCB 2P, 25A 300MA  ",2CSF202005R3250,"F202 AC-25/0,3                          "
CONTACTOR 220V AC1 4P 200A,1SFL447101R1300,Contactor#AF140-40-00-13#100-250V
TIME DELAY RELAY,1SVR500020R0000,"CT-MFD.12 Time relay, multifunction"
MCCB 400A 3P 50KA,1SDA054333R1,T5S 400 PR221DS-LS/I In=400 3p F F
MCCB 400A 3P 36KA,1SDA054317R1,T5N 400 PR221DS-LS/I In=400 3p F F
MCCB  80A  4P  36KA (BYPASS),1SDA067423R1,XT1N 160 TMD 80-800 4p F F
MCCB  80A  3P  36KA,1SDA067415R1,XT1N 160 TMD 80-800 3p F F
MCCB  63A  4P  36KA,1SDA067422R1,XT1N 160 TMD 63-630 4p F F
MCCB  63A  4P  25KA,1SDA067404R1,XT1C 160 TMD 63-630 4p F F
MCCB  63A  3P  36KA,1SDA067414R1,XT1N 160 TMD 63-630 3p F F
MCCB  630A  3P  36KA,1SDA054396R1,T5N 630 PR221DS-LS/I In=630 3p F F
MCCB  40A  3P  36KA,1SDA067412R1,XT1N 160 TMD 40-450 3p F F
MCCB  32A  3P  36KA,1SDA067411R1, 
MCCB  25A  3P  25KA,1SDA067391R1,XT1C 160 TMD 25-450 3p F F
MCCB  250A  3P  36KA,1SDA068059R1,XT3N 250 TMD 250-2500 3p F F
MCCB  20A  3P  36KA,1SDA080828R1,XT1N 160 TMF 20-450 3p F F
MCCB  200A  3P  36KA,1SDA068058R1,XT3N 250 TMD 200-2000 3p F F
MCCB  160A  3P  50KA,1SDA067560R1,XT2S 160 TMA 160-1600 3p F F
MCCB  160A  3P  36KA,1SDA067418R1,XT1N 160 TMD 160-1600 3p F F
MCCB  125A  3P  36KA,1SDA067417R1,XT1N 160 TMD 125-1250 3p F F
MCCB  10A  3P  25KA,1SDA080825R1,XT1C 160 TMD 16-450 3p F F
MCCB  100A  4P  36KA,1SDA067424R1,XT1N 160 TMD 100-1000 4p F F
MCCB  100A  4P  25KA,1SDA067406R1,XT1C 160 TMD 100-1000 4p F F
MCCB  100A  3P  36KA,1SDA067416R1,XT1N 160 TMD 100-1000 3p F F
MCCB.ACC SHUNT TRIP (630A),1SDA054873R1,SOR-C T4-T5-T6 220..240Vac - 220..250Vdc
MCCB.ACC SHUNT TRIP (500A),1SDA054873R1,SOR-C T4-T5-T6 220..240Vac - 220..250Vdc
MCCB.ACC SHUNT TRIP (160A ~ 250A),1SDA066325R1,SOR-C XT1..XT4 F/P 220-240Vac-220-250Vdc
MCCB.ACC SHUNT TRIP (100A AND BELOW),1SDA066325R1,SOR-C XT1..XT4 F/P 220-240Vac-220-250Vdc
MCCB.ACC AUX SW (320A ~ 800A),1SDA054873R1,SOR-C T4-T5-T6 220..240Vac - 220..250Vdc
MCCB.ACC AUX SW (125A ~ 250A),1SDA066325R1,SOR-C XT1..XT4 F/P 220-240Vac-220-250Vdc
MCCB.ACC AUX SW (100A AND BELOW),1SDA066431R1,AUX-C 1Q+1SY 250Vac/dc XT1...XT6 F/P
MCB  D50A  3P  10KA,2CDS273001R0501,S203M-D 50 Miniature Circuit Breaker D-C
MCB  D40A  3P  10KA,2CDS253001R0401,S203-D40 Miniature Circuit Breaker D-Cha
MCB  D32A  3P  10KA,2CDS253001R0321,S203-D32 Miniature Circuit Breaker D-Cha
MCB  D25A  3P  10KA,2CDS273001R0251, 
MCB  D20A  3P  10KA,2CDS253001R0201,S203-D20 Miniature 6KA
MCB  D16A  3P  10KA,2CDS253001R0161,S203-D16 Miniature Circuit Breaker D-Cha
MCB  C63A  3P  10KA (FOR SA),2CDS253001R0634,S203-C 63 Miniature Circuit Breaker C-Ch
MCB  C63A  3P  10KA,2CDS252001R0634,S202-C 63 Miniature Circuit Breaker C-Ch
MCB  C50A  3P  10KA,2CDS273001R0504,"S203M-C 50 Mini Circuit Breaker C-Char.,"
MCB  C40A  3P  10KA,2CDS253001R0404,S203-C 40 Miniature Circuit Breaker C-Ch
MCB  C32A  3P  10KA,2CDS253001R0324,S203-C 32 Miniature Circuit Breaker C-Ch
MCB  C32A  1P  10KA,2CDS251001R0324,S201-C 32 Miniature Circuit Breaker C-Ch
MCB  C25A  3P  10KA,2CDS253001R0254,S203-C 25 Miniature Circuit Breaker C-Ch
MCB  C25A  2P  10KA,2CDS272001R0254,"S202M-C 25 Mini Circuit Breaker C-Char.,"
MCB  C20A  3P  10KA,2CDS253001R0204,S203-C 20 Miniature Circuit Breaker C-Ch
MCB  C20A  2P  10KA,2CDS272001R0204,"S202M-C 20 Mini Circuit Breaker C-Char.,"
MCB  C20A  1P  10KA,2CDS251001R0204,S201-C 20 Miniature Circuit Breaker C-Ch
MCB  C16A  3P  10KA,2CDS273001R0164,S203M-C16
MCB  C16A  2P  10KA,2CDS272001R0164,"S202M-C 16 Mini Circuit Breaker C-Char.,"
MCB  C16A  1P  10KA,2CDS251001R0164,S201-C 16 Miniature Circuit Breaker C-Ch
MCB  C10A  1P  10KA,2CDS251001R0104,S201-C 10 Miniature Circuit Breaker C-Ch
MCB  C 6A  1P  6KA,2CDS251001R0064,S201-C 6 Miniature Circuit Breaker C-Cha
MCB  B10A  2P  10KA,2CDS252001R0105,S202-B 10 Miniature Circuit Breaker B-Ch
Electric Valve (By others),2CDS252001R0105,S202-B 10 Miniature Circuit Breaker B-Ch
RCCB  40A  4P  30MA,2CSF204005R1400,"RCCB, F204 AC-40/0,03 IEC -"
RCCB  40A  4P  300MA,2CSF204005R3400,"RCCB, F204 AC-40/0,3 IEC -"
RCCB  40A  4P  100MA,2CSF204005R2400,"RCCB,  F204 AC-40/0.1, 40A, 4POLE"
RCCB  40A  2P  100MA,2CSF202005R2400,"RCCB, F202 AC-40/0,1 IEC"
RCCB  25A  4P  30MA,2CSF204005R1250,"F204 AC-25/0,03 IEC  RCCB,"
RCCB  25A  4P  100MA,2CSF204005R2250,"F204 AC-25/0,1 IEC - Resid. Current Dev"
RCCB  25A  2P  30MA,2CSF202005R1250,"F202 AC-25/0,03 IEC Residual Current Cir"
RCCB  16A  2P  30MA,2CSF202005R1250,"F202 AC-25/0,03 IEC Residual Current Cir"
RCCB  10A  2P  100MA,2CSF202005R2250,"F202 AC-25/0,1 IEC - Resid. Current Dev"
LOAD BREAK SWITCH 4P 200A,1SCA022713R4930,OT200E04P SWITCH-DISCONNECTOR
LOAD BREAK SWITCH 4P 160A,1SCA120518R1001,OT160EV04 SWITCH-DISCONNECTOR
ISOLATOR 4P 80A  ,2CDE284001R0080,Isolator E204/80r
ISOLATOR 4P 63A ,2CDD274111R0063,"SHD204/63 Switch Disconnector 4P, 63A"
ISOLATOR 4P 50A ,2CDD274111R0050,"SHD204/50 Switch Disconnector 4P, 50A"
ISOLATOR 4P 40A ,2CDD274111R0040,"SHD204/40 Switch Disconnector 4P, 40A"
ISOLATOR 4P 32A ,2CDD274111R0032,"SHD204/32 Switch Disconnector 4P, 32A"
ISOLATOR 4P 20A ,2CDD274111R0025,"SHD204/25 Switch Disconnector 4P, 25A"
ISOLATOR 3P 5A ,2CDD274111R0016,"SHD204/16 Switch Disconnector 4P, 16A"
ISOLATOR 3P 40A ,2CDD273111R0040,"SHD203/40 Switch Disconnector 3P, 40A"
ISOLATOR 3P 1A ,2CDD273111R0016,"SHD203/16 Switch Disconnector 3P, 16A"
ISOLATOR 3P 16A ,2CDD273111R0016,"SHD203/16 Switch Disconnector 3P, 16A"
ISOLATOR 3P 12A ,2CDD273111R0016,"SHD203/16 Switch Disconnector 3P, 16A"
CONTACTOR.ACC AUX CONTACTS 1NO,1SBN019010R1010,CA5X-10
CONTACTOR.ACC AUX CONTACTS 1NC,1SBN019010R1001,CA5X-01
"CONTACTOR MINI TYPE CONTACTOR 3P, 20A",GJL1211001R8100,B6-30-10-80 Mini Contactor 220-240V 40-4
CONTACTOR.ACC AUX CONTACTS 1NO+1NC,1SBN019010R1001,CA5X-01
"CONTACTOR 3P 415V 9A, 4 KW",1SBL901074R8010,AX09-30-10-80
"CONTACTOR 3P 415V 18A, 7.5 KW",1SBL921074R8010,AX18-30-10-80
0.17A ? 0.23A THERMAL OVERLOAD RELAY,1SAZ211201R2009,TA25DU-0.25M Thermal Overload Relay
0.10A ? 0.13A THERMAL OVERLOAD RELAY,1SAZ211201R2009,TA25DU-0.25M Thermal Overload Relay
STAR CONTACTOR FOR 7.5KW,1SBL901074R8110,AX09-30-10-81
MAIN CONTACTOR FOR 7.5KW,1SBL901074R8110,AX09-30-10-81
DELTA CONTACTOR FOR 7.5KW,1SBL901074R8110,AX09-30-10-81
0.10A ? 0.13A THERMAL OVERLOAD RELAY,1SAZ211201R2009,TA25DU-0.25M Thermal Overload Relay
ACB 800A 4P 50KA (1s),1SDA072885R1,E2.2S 800 Ekip Touch LSI 4p WMP 
ACB 1600A 4P 50KA (1s),1SDA072985R1,E2.2S 1600 Ekip Touch LSI 4p WMP
ACB 1250A 4P 50KA (1s),1SDA072945R1,E2.2S 1250 Ekip Touch LSI 4p WMP
ACB 1000A 4P 50KA (1s),1SDA072915R1,E2.2S 1000 Ekip Touch LSI 4p WMP
ACB.ACC SHUNT TRIP COIL (SHT),1SDA073675R1,YO E1.2..E6.2-XT7-XT7M 240-250 VAC/DC 
ACB.ACC CASTELL KEY LOCK,1SDA073797R1,KLC-A Key lock open Castell E2.2...E6.2 
ACB.ACC MOTOR,1SDA073732R1,M E2.2...E6.2 220-250 VAC/DC + MC 24V 
ACB.ACC CLOSING COIL (SHT),1SDA073687R1,YC E1.2..E6.2-XT7M 220-240 VAC/DC 
MCCB 400A 4P 50KA Ekip Dip LSI ,1SDA100470R1,XT5S 400 Ekip Dip LSI In=400 4p F F 
MCCB 400A 4P 36KA Ekip Dip LSI ,1SDA100400R1,XT5N 400 Ekip Dip LSI In=400 4p F F 
MCCB  630A  3P  50KA Ekip Dip LSI,1SDA100429R1,XT5S 630 Ekip Dip LSI In=630 3p F F 
MCCB 400A 3P 50KA Ekip Dip LSI ,1SDA100428R1,XT5S 400 Ekip Dip LSI In=400 3p F F 
MCCB  80A  3P  50KA,1SDA067433R1,XT1S 160 TMD 80-800 3p F F
MCCB  63A  3P  50KA,1SDA067432R1,XT1S 160 TMD 63-630 3p F F
MCCB  40A  3P  50KA,1SDA080834R1,XT1S 160 TMD 40-450 3p F F
MCCB  200A  3P  50KA,1SDA068220R1,XT3S 250 TMD 200-2000 3p F F
MCCB  160A  3P  50KA,1SDA067436R1,XT1S 160 TMD 160-1600 3p F F
MCCB  100A  3P  50KA,1SDA067434R1,XT1S 160 TMD 100-1000 3p F F
MCCB  80A  3P  36KA,1SDA067415R1,XT1N 160 TMD 80-800 3p F F
MCCB  63A  3P  36KA,1SDA067414R1,XT1N 160 TMD 63-630 3p F F
MCCB  40A  3P  36KA,1SDA067412R1,XT1N 160 TMD 40-450 3p F F
MCCB  200A  3P  36KA,1SDA068058R1,XT3N 250 TMD 200-2000 3p F F
MCCB  160A  3P  36KA,1SDA067418R1,XT1N 160 TMD 160-1600 3p F F
MCCB  100A  3P  36KA,1SDA067416R1,XT1N 160 TMD 100-1000 3p F F
MCCB  20A  3P  36KA,1SDA067411R1,XT1N 160 TMD 32-450 3p F F
MCCB 400A 3P 36KA Ekip Dip LSI ,1SDA100358R1,XT5N 400 Ekip Dip LSI In=400 3p F F 
MCCB 320A 3P 36KA Ekip Dip LSI ,1SDA100357R1,XT5N 400 Ekip Dip LSI In=320 3p F F 
MCCB.ACC SHUNT TRIP (100A AND BELOW),1SDA066325R1,SOR-C XT1..XT4 F/P 220-240Vac-220-250Vdc
MCCB.ACC SHUNT TRIP (320A ~ 400A),1SDA104934R1,YO-C XT5-XT6 F/P 110..240Vac-110..250Vdc
MCCB.ACC SHUNT TRIP (630A),1SDA104934R1,YO-C XT5-XT6 F/P 110..240Vac-110..250Vdc
MCCB.ACC EX-ROT HANDLE (100A AND BELOW),1SDA066479R1,RHE XT1-XT3 F/P STAND. RETURNED 
MCCB.ACC EX-ROT HANDLE (125A ~ 250A),1SDA069055R1,RHE XT2-XT4 F/P STAND. RETURNED 
MCCB.ACC EX-ROT HANDLE (320A ~ 630A),1SDA104843R1,RHE XT5 F/P STAND. RETURNED 
MCCB PADLOCK DEVICE (400A ~ 630A),1SDA105099R1,PLL XT5 PADLOCKS DEVICE OPEN
MCCB.ACC UVT 220-240 (320A ~ 630A),1SDA104958R1,YU-C XT5-XT6 F/P 220..240Vac-220..250Vdc
MCCB.ACC AUX SW (100A AND BELOW),1SDA066431R1,AUX-C 1Q+1SY 250Vac/dc XT1...XT6 F/P
MCCB.ACC AUX SW (125A ~ 250A),1SDA066431R1,AUX-C 1Q+1SY 250Vac/dc XT1...XT6 F/P
MCCB.ACC AUX SW (320A ~ 800A),1SDA066431R1,AUX-C 1Q+1SY 250Vac/dc XT1...XT6 F/P
MCCB.ACC SHUNT TRIP (160A ~ 250A),1SDA066325R1,SOR-C XT1..XT4 F/P 220-240Vac-220-250Vdc
MCB 10KA 2P B20A,2CDS274001R0205,S204M-B20
MCB  C100A  4P  10KA,2TAZ190400R0824,SH804-C100
MCB  B 6A  4P  10KA,2CDS274001R0065,S204M-B6
MCB  C80A  3P  10KA,2TAZ190300R0804,SH803-C80
MCB  C63A  3P  10KA,2CDS273001R0634,S203M-C63
MCB  C40A  3P  10KA,2CDS273001R0404,S203M-C40
MCB  C32A  3P  10KA,2CDS273001R0324,S203M-C32
MCB  C20A  3P  10KA,2CDS273001R0204,S203M-C20
MCB  C100A  3P  10KA,2TAZ190300R0824,SH803-C100
MCB  B 6A  3P  10KA,2CDS273001R0065,S203M-B6
MCB  B63A  3P  10KA,2CDS273001R0635,S203M-B63
MCB  B40A  3P  10KA,2CDS273001R0405,S203M-B40
MCB  B32A  3P  10KA,2CDS273001R0325,S203M-B32
MCB  B20A  3P  10KA,2CDS273001R0205,S203M-B20
MCB  C32A  2P  10KA,2CDS272001R0324,S202M-C32
MCB  C20A  2P  10KA,2CDS272001R0204,S202M-C20
MCB  B 6A  2P  10KA,2CDS272001R0064,S202M-C6
MCB  B63A  2P  10KA,2CDS272001R0635,S202M-B63
MCB  B40A  2P  10KA,2CDS272001R0405,S202M-B40
MCB  B32A  2P  10KA,2CDS272001R0325,S202M-B32
MCB  B16A  2P  10KA,2CDS272001R0165,S202M-B16
MCB  B32A  1P  10KA,2CDS271001R0325,S201M-B32
MCB  B20A  1P  10KA,2CDS271001R0205,S201M-B20
MCB  B16A  1P  10KA,2CDS271001R0165,S201M-B16
MCB  B10A  1P  10KA,2CDS271001R0105,S201M-B10
MCB  C32A  4P  10KA,2CDS274001R0324,S204M-C32 4Pole 32A C-curve MCB Icn 10kA Icu 15kA 
MCB  C80A  2P  10KA,2TAZ190200R0804,SH802-C80
